Date,Name,Year,Letterboxd URI,Rating,Elo,poster,trailer
2022-09-20,Not Another Teen Movie,2001,https://boxd.it/1TWq,1.5,964.078705642198,https://a.ltrbxd.com/resized/film-poster/4/5/3/3/7/45337-not-another-teen-movie-0-460-0-690-crop.jpg?v=eb42c8e2db,https://www.youtube.com/embed/f1sbQf58B50?autoplay=1&rel=1
2022-09-20,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.0,963.6430060351277,https://a.ltrbxd.com/resized/film-poster/2/6/9/5/2695-pirates-of-the-caribbean-the-curse-of-the-black-pearl-0-460-0-690-crop.jpg?v=272b36c0d8,https://www.youtube.com/embed/naQr0uTrH_s?autoplay=1&rel=1
2022-09-20,The Intern,2015,https://boxd.it/7AOE,3.5,963.204908585771,https://a.ltrbxd.com/resized/film-poster/1/8/0/9/8/2/180982-the-intern-0-460-0-690-crop.jpg?v=305de9a810,https://www.youtube.com/embed/f6dKhzYgksc?autoplay=1&rel=1
2022-09-20,John Carter,2012,https://boxd.it/FQ2,2.0,961.8176325249552,https://a.ltrbxd.com/resized/film-poster/1/6/0/8/3/16083-john-carter-0-460-0-690-crop.jpg?v=6cb5ea94de,https://www.youtube.com/embed/WR6HUkzxjR0?autoplay=1&rel=1
2022-09-20,The Green Hornet,2011,https://boxd.it/10TQ,2.0,960.2920751240782,https://a.ltrbxd.com/resized/sm/upload/ke/zp/z2/yx/v0EjItmaELjuMN6pbxkDIyP6fTe-0-460-0-690-crop.jpg?v=26c3797f5b,https://www.youtube.com/embed/PMA-taGtfXs?autoplay=1&rel=1
2022-09-20,Zootopia,2016,https://boxd.it/84xS,2.5,960.1163752446358,https://a.ltrbxd.com/resized/film-poster/1/9/2/4/1/0/192410-zootopia-0-460-0-690-crop.jpg?v=e22eae9a2a,https://www.youtube.com/embed/jWM0ct-OLsM?autoplay=1&rel=1
2022-09-20,Spider-Man 3,2007,https://boxd.it/2a7Y,2.5,959.6939059448995,https://a.ltrbxd.com/resized/sm/upload/gi/zi/fp/69/uC2pAMjb32NIgQ1GdC1Bl6LZJc2-0-460-0-690-crop.jpg?v=71a23d5211,https://www.youtube.com/embed/wPosLpgMtTY?autoplay=1&rel=1
2022-09-20,Home,2015,https://boxd.it/6JxA,3.0,959.2574057362305,https://a.ltrbxd.com/resized/film-poster/1/6/0/5/0/3/160503-home-0-460-0-690-crop.jpg?v=a8eb6debf5,https://www.youtube.com/embed/Du4jTG7-93k?autoplay=1&rel=1
2022-09-20,Jurassic Park III,2001,https://boxd.it/2azI,2.5,958.7811221696536,https://a.ltrbxd.com/resized/film-poster/5/1/7/3/1/51731-jurassic-park-iii-0-460-0-690-crop.jpg?v=22cdbe26f3,https://www.youtube.com/embed/FBRWNdXpG1g?autoplay=1&rel=1
2022-09-20,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,3.0,958.5182499512948,https://a.ltrbxd.com/resized/film-poster/2/7/7/1/3/27713-x-men-the-last-stand-0-460-0-690-crop.jpg?v=61ff7376df,https://www.youtube.com/embed/X8ozc_dQprk?autoplay=1&rel=1
